business_type,cohort_date,province,industry_l1,industry_l2,industry_l3,primary_service,buuid,plan_created,charge_rate,principal_amount,total_amount_payable,total_amount_paid,plan_state
Company,2021-05-01 00:00:00,Gauteng,Leisure and entertainment,Public,Ticketing,Card Machine,1621408208161-d05029b0-6b62-4776-93be-778466c348bf,2021-09-28 07:39:46,22,35000,45550,24016.08,open
Company,2021-05-01 00:00:00,North West,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1621520511717-d52fc090-deef-4e7b-847c-2f57dc1d24c8,2021-11-02 15:13:26,13,40000,51650,7478.72,open
Company,2021-05-01 00:00:00,Limpopo,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1621951392532-56325b54-5d2b-486e-b5d6-398ac789f0a1,2021-10-28 20:29:31,17,6000,7730,2450.21,open
Sole Proprietor,2021-05-01 00:00:00,Eastern Cape,Retail,Other retail,Other Retail,Card Machine,1616495614839-e35e5183-255c-4cf8-8607-c73c7242dc9a,2021-10-22 09:46:08,13,3000,3950,663.91,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1622210462834-680ded79-421d-4bdd-a83a-78b2107cadec,2021-10-19 19:57:09,25,20000,25850,10370.6,open
Company,2021-05-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1622214397273-ad710b5d-02e0-4f9e-8dbd-7bdc226ce30d,2021-10-20 08:37:26,17.5,450000,490500,325314.62,open
Sole Proprietor,2021-04-01 00:00:00,Northern Cape,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1617263408541-e0598b29-42d0-4c68-b2f7-870dbbe7901b,2021-11-26 10:04:05,23,43000,55950,1498.68,open
Sole Proprietor,2021-04-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1616667683447-dc73bcb0-ffdf-41fa-ad77-216f0ed3b4a4,2021-10-12 06:40:11,16.4,120000,134400,38173.09,open
Company,2021-04-01 00:00:00,Western Cape,Retail,Retail gifts,Card Shop/Gifts/Souvenirs,Gift Vouchers,1614345696531-c13144df-f561-418b-873c-d2fd97dd6e11,2021-09-07 07:56:04,17,8000,10290,3229.66,open
Sole Proprietor,2021-04-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1617699408136-7d66cbce-0968-4f06-ab7f-a704c53c5b2c,2021-11-11 07:00:33,23,14000,18250,9354.33,open
Sole Proprietor,2021-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1617785589795-4ea8a558-d714-4b44-8ef9-d06db8571c86,2021-11-09 09:45:13,16,4500,5540,2052,open
Sole Proprietor,2021-04-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1617968363110-7b6389b0-739a-4ad0-8694-97e3bf4c295b,2021-10-19 07:58:43,23,6000,7850,2863.27,open
Sole Proprietor,2021-04-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1617968363110-7b6389b0-739a-4ad0-8694-97e3bf4c295b,2021-10-19 07:58:43,23,6000,7850,2863.27,open
Company,2021-04-01 00:00:00,Western Cape,Online,Online,Online Retail,Card Machine,1618227793160-c2196de6-a212-41ab-9af6-aa4f1f6e6f62,2021-11-15 13:58:36,23,123000,159950,27388.86,open
Sole Proprietor,2021-04-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1618243056984-84db6f5a-c737-4f74-961f-94b043d33d15,2021-11-03 10:48:20,15,19000,24560,3706.5,open
Sole Proprietor,2021-04-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Wine Farm,Card Machine,1617730736126-7cfc5ffd-a8dd-4c0d-99f6-4414054b81c3,2021-10-23 13:21:51,25,20000,25850,3525.75,open
Company,2021-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1618638363458-583fbc15-efd1-49a3-bf53-093ddea103d3,2021-11-03 11:18:02,13,10000,13050,1925.82,open
Sole Proprietor,2021-04-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1618764686286-61706a21-78f6-4008-a51e-a876722c2ae9,2021-09-22 18:48:01,19,40000,50050,30195.37,open
Company,2021-04-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Website,1618708184245-2081fb13-21e3-439e-b1c6-276a3aada09c,2021-11-24 09:39:36,23,247000,321150,,collections_on_hold
Sole Proprietor,2021-04-01 00:00:00,Western Cape,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1619012306326-c7faf16d-99ee-4868-8022-e747c407af89,2021-09-08 09:27:17,21,6000,7850,5013.52,open
Sole Proprietor,2021-04-01 00:00:00,Gauteng,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1619089971134-a23a9cce-1e22-4d0a-9deb-7656abbce587,2021-11-17 11:57:28,23,37000,48150,2679.06,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,Home and repair,Asset repair,Automotive services,Card Machine,1617240875946-ac1d2b7c-4fe0-41eb-b71c-e1c56fd15ada,2021-10-25 17:38:38,23,6000,7850,1249.59,open
Company,2021-05-01 00:00:00,Gauteng,Home and repair,Asset repair,Automotive services,Card Machine,1620230682032-a6517973-efdd-427b-b519-188c8bc6df83,2021-11-18 11:28:34,27,15000,18350,,collections_on_hold
Sole Proprietor,2021-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1620324681328-50573981-68d8-4789-8d3f-238c7f6f49ba,2021-11-02 06:46:16,14,10000,33190,4414.2,open
Sole Proprietor,2021-05-01 00:00:00,Mpumalanga,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1620121856796-4bf5770d-5c6d-477c-b9aa-694ffaa7ba1e,2021-11-04 20:14:16,23,36000,46850,12371.01,open
Sole Proprietor,2021-05-01 00:00:00,Kwazulu-Natal,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1620397081252-2b73977a-f93c-43c4-8db9-ccd2861490fb,2021-09-02 18:19:33,22,6000,7850,7850,finished
Sole Proprietor,2021-05-01 00:00:00,Kwazulu-Natal,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1620397081252-2b73977a-f93c-43c4-8db9-ccd2861490fb,2021-11-16 13:35:02,20,18000,23450,4917.2,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1620372721898-5fe7b573-67bf-40eb-ba11-caba9b612c54,2021-09-30 13:07:55,13,100000,122050,42646.63,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1620372721898-5fe7b573-67bf-40eb-ba11-caba9b612c54,2021-09-30 13:07:55,13,100000,122050,42646.63,open
Sole Proprietor,2021-05-01 00:00:00,Mpumalanga,Travel and tourism,Other tourism,Other,Card Machine,1620725500631-b0ef10e8-0bd8-4620-9aa0-a8ace9396a28,2021-11-26 13:25:42,9,20000,26050,1036.48,open
Company,2021-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1620724829508-b4312c9e-5e03-49d3-8b9e-bf11636f0aab,2021-10-27 14:29:03,14.28,240000,280800,98475.69,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1620986381386-e7108dbf-1517-4017-8c5b-a6e2814050c6,2021-09-15 19:50:03,16,5000,6300,2838.56,open
Sole Proprietor,2021-05-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Sport,Recreation/Sports,Payment Request,1621055515064-4e2cdec7-8cc6-4094-827a-70c9ce9af91f,2021-09-09 14:52:49,22,9000,11750,1043.9,open
Company,2021-05-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1621065770932-ff65fc4e-da5f-4d36-9fc1-62e97a58e3f0,2021-10-19 13:04:08,23,86000,111850,29762,open
Sole Proprietor,2021-05-01 00:00:00,Gauteng,Professional services,Other services,Other,Card Machine,1622217283957-0eb511d8-5048-49f1-8ea7-79ba26a2bcf9,2021-10-19 16:08:48,6,21000,27350,,open
Sole Proprietor,2021-02-01 00:00:00,Northern Cape,Home and repair,Asset repair,Automotive services,Card Machine,1612899821718-8b2e0a93-b7d4-49e5-a9a4-77b7a7f3d0d9,2021-09-27 06:48:43,22,60000,77450,23888.53,open
Company,2021-02-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1613997216894-d2dc07ad-e85b-4053-958e-cb51d272e273,2021-11-04 10:23:36,23,28000,51841,7969.27,open
Sole Proprietor,2021-03-01 00:00:00,Northern Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1615207833189-6b2d1a1f-10c4-461c-90f1-35f9860b40a7,2021-11-08 17:29:20,23,19000,24750,1821.73,open
Company,2021-03-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1615281940884-37906f7e-03df-4428-aac1-3691d61bb51f,2021-10-13 13:25:05,23,24000,31250,11643.98,open
Sole Proprietor,2021-03-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1615386989285-dbb02d2b-7ef4-4f55-8b48-21373f2cb2b3,2021-10-19 11:37:41,17,6000,7850,1709.18,open
Sole Proprietor,2021-03-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1615556650990-ec9dad75-b52b-4b8e-b237-496d78d0ae8c,2021-09-16 12:05:10,22,300000,390050,56013.98,open
Company,2021-03-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1615738882310-792763c7-6806-4719-8ce8-5aa3925b9683,2021-10-12 09:34:21,4,2500,3175,675.52,open
Sole Proprietor,2021-03-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Gift Vouchers,1617000040240-84865535-0a6b-4faa-a554-766edf9e8d46,2021-11-23 17:30:31,15,4000,4930,,collections_on_hold
Company,2021-03-01 00:00:00,Western Cape,Leisure and entertainment,Public,Ticketing,Card Machine,1615875297510-d474996f-867c-4493-bd02-e11a91917b9e,2021-11-18 11:20:37,21,7000,8450,,collections_on_hold
Company,2021-03-01 00:00:00,Mpumalanga,Professional services,Other services,Other,Card Machine,1615198696225-87f1d69c-b26d-4c77-9425-5fcb6098b685,2021-10-25 08:58:46,6,2500,3100,995.28,open
Sole Proprietor,2021-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1618161086177-7ed78c32-c8af-47eb-bf55-2f403142a75b,2021-11-28 18:31:52,24,23000,29950,394.56,open
Sole Proprietor,2021-04-01 00:00:00,Limpopo,Retail,Other retail,Other Retail,Card Machine,1618315717391-e8ab2b5b-2ee6-4009-95b0-13342dd1b855,2021-11-25 08:43:53,17,35000,45200,,collections_on_hold
Sole Proprietor,2021-04-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1618916179978-c6aea720-954c-478e-a35f-08e0fd422e8b,2021-11-18 16:17:41,24,15500,20200,,collections_on_hold
Sole Proprietor,2021-04-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1619102359993-d0f4ead8-19d7-4560-a1dd-2ac231a03a50,2021-11-02 13:12:26,6,8000,10210,3019.2,open
Sole Proprietor,2021-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Gift Vouchers,1607514042503-1f5c28bd-30c4-4282-9030-25df12c239de,2021-10-18 16:58:05,23,21000,33468,,open
Sole Proprietor,2021-05-01 00:00:00,North West,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1620058039220-f0c8b06a-b6a8-4284-abd9-5c94bbd14c0b,2021-10-20 16:31:19,24,29000,37750,3219.6,open
Sole Proprietor,2021-05-01 00:00:00,Gauteng,Professional services,Other services,Other,Card Machine,1620199642409-493bbf50-58a0-4259-bab2-aa84ebaca8a3,2021-09-01 09:15:14,16,20000,26050,7027.2,open
Sole Proprietor,2021-05-01 00:00:00,Gauteng,Retail,Retail gifts,Card Shop/Gifts/Souvenirs,Card Machine,1620397206107-891c56cc-92d7-41a9-8c7d-d55e570969be,2021-11-18 14:07:59,21,10000,12050,,collections_on_hold
Sole Proprietor,2021-05-01 00:00:00,Limpopo,"Healthcare, beauty and fitness",Health,Dentist/Orthodontist,Card Machine,1620810960519-6a33ab0b-8628-4ed1-b47d-9e7972f8f21e,2021-11-18 11:52:40,23,32000,41650,,collections_on_hold
Company,2021-05-01 00:00:00,Limpopo,Travel and tourism,Accomodation,Bed and Breakfast,Card Machine,1620846167714-69ab968f-d380-49c6-b32a-61ebc9207345,2021-11-22 12:47:47,23,23000,29950,,collections_on_hold
Company,2021-05-01 00:00:00,Western Cape,Retail,Retail home,Furniture / Home goods,Card Machine,1619768131939-e4578eea-73c2-44ad-a61f-869160a91ebc,2021-10-19 20:45:31,24,15000,19550,1658.4,open
Sole Proprietor,2021-05-01 00:00:00,Northern Cape,Retail,Retail art,Antiques & Restorations,Card Machine,1621408190666-e97324ed-6d40-4380-84de-1560bcb85e7e,2021-11-18 12:08:43,24,63000,81950,,collections_on_hold
Company,2021-05-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Wine Farm,Card Machine,1620905439275-d1178857-64c6-41ca-8eac-496cecabfa61,2021-11-26 16:56:04,11,50000,65050,1755.49,open
Sole Proprietor,2021-05-01 00:00:00,Mpumalanga,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1622020274828-2e38c9e2-5e0d-40f9-84a7-1d8948753aca,2021-10-19 16:41:37,25,20000,25850,7119.11,open
Sole Proprietor,2021-05-01 00:00:00,Mpumalanga,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1622020274828-2e38c9e2-5e0d-40f9-84a7-1d8948753aca,2021-10-19 16:41:37,25,20000,25850,7119.11,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1606897222308-158fa11e-ff2d-423e-b00d-b4057c25167a,2021-10-25 14:29:47,24,8000,10450,2191.2,open
Sole Proprietor,2021-06-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1622460525730-6e9a0041-d41a-4fbf-b0d3-53330e1429f3,2021-11-02 09:04:01,2,3000,3710,1694.2,open
Sole Proprietor,2021-06-01 00:00:00,Gauteng,Retail,Other retail,Pet store,Card Machine,1622643641865-6a5988c4-27ba-4432-8c08-14bfc30da0c2,2021-10-19 16:38:32,20,150000,195050,9718,open
Company,2021-06-01 00:00:00,Kwazulu-Natal,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1622882399181-e70a367f-78dd-4943-b1d8-65ac4f091761,2021-10-29 10:46:16,24,42000,54650,15092.52,open
Company,2021-04-01 00:00:00,Eastern Cape,Home and repair,Asset repair,Automotive services,Card Machine,1617278828832-f56bdab4-e26e-44b5-b1ed-8ec1319c799a,2021-10-22 08:29:27,6,40000,52050,6806.9,open
Sole Proprietor,2021-04-01 00:00:00,Gauteng,Personal services,Education,Education/tutor,QR Code,1617353005467-7f625356-d4b2-4179-9ef2-62e9cd63ae55,2021-09-02 13:11:28,14,7500,9800,9800,finished
Sole Proprietor,2021-04-01 00:00:00,Gauteng,Personal services,Education,Education/tutor,QR Code,1617353005467-7f625356-d4b2-4179-9ef2-62e9cd63ae55,2021-11-17 07:26:25,12,25000,32550,3127.8,open
Company,2021-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1616762564889-e3fe009e-668d-4d19-be48-745510b9a8d3,2021-10-05 19:06:31,23,20000,24450,19486.75,open
Company,2021-04-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1617961325979-298f63be-1568-4cfe-837f-8e80e537bb3c,2021-09-27 10:26:11,17,40000,45651,26456.3,open
Company,2021-04-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1618488036598-0df86626-09a7-4559-9de3-edbcccccb3cd,2021-10-28 09:35:17,6,2500,3100,904.5,open
Company,2021-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1618953305569-422bd550-c81b-48b4-abd3-5d2df106608b,2021-10-28 10:22:47,24,7000,9150,1145.28,open
Company,2021-04-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1619005855789-45bbfb3c-355e-4e45-a098-b1af4675748a,2021-10-12 21:44:08,24,8000,10450,1620,open
Company,2021-04-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1619701011419-e0297bc2-c122-4197-9084-b8e8fe57eaf3,2021-10-01 10:18:47,23,40000,51250,14209.86,open
Sole Proprietor,2021-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1620206198217-b398bc79-80ca-4a7e-a67b-dc4d176b8420,2021-11-11 07:32:32,23,36000,46850,4906.59,open
Sole Proprietor,2021-05-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1620302002682-862d1c5f-8fcd-497a-9140-e6e4d5214494,2021-10-20 08:12:24,15,85000,207436,24900.59,open
Company,2021-05-01 00:00:00,Gauteng,Transportation,Goods transportation,Other Transportation,Card Machine,1620387067697-4eb66449-988b-4825-a8e5-69e8d7749073,2021-10-11 08:22:06,22,2500,3100,887.05,open
Sole Proprietor,2021-05-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1620645581780-d9c35b2b-74ad-4402-93a3-8c42f99c998d,2021-09-27 11:22:15,21,16500,21500,4204.61,open
Sole Proprietor,2021-05-01 00:00:00,Free State,Home and repair,Home repair,Television / satellite installation,Card Machine,1620747568214-5c08ffe1-446b-4ddf-a7c2-9e6dd2374e90,2021-11-17 13:08:09,21,4000,4850,2110.5,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1620338477730-e2a0bc55-7101-4dc3-a195-c959ad7bbb22,2021-10-04 10:52:31,15,6000,7730,428.7,open
Sole Proprietor,2021-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1620708425259-dadb5ca9-5aeb-4dac-9125-15c6c109c071,2021-10-04 07:31:04,21,7500,9800,2791.32,open
Sole Proprietor,2021-05-01 00:00:00,Mpumalanga,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1621531260989-e54c97f6-88a1-4703-9ac0-fe099cffb21b,2021-11-15 08:53:59,12,6000,7850,319.2,open
Company,2021-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1622033923117-57ec6625-bd6d-46a6-9964-4c9dd133f877,2021-10-20 11:49:56,23,250000,325050,20088.59,open
Company,2021-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1622033923117-57ec6625-bd6d-46a6-9964-4c9dd133f877,2021-10-20 11:49:56,23,250000,325050,20088.59,open
Company,2021-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1621147115889-ab3f97bc-c96d-4206-b41c-e23346b39c9d,2021-11-09 12:43:34,24,125000,162550,17008.46,open
Sole Proprietor,2021-05-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1622061397929-46a0f0df-3b62-4cc4-9942-2b152f46fd99,2021-11-25 14:13:35,24,6000,7850,,collections_on_hold
Company,2021-05-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Card Machine,1622295953844-3b551f79-6e10-453c-be2f-5fbf78bf0dad,2021-10-25 10:24:28,18,12000,15410,2360.07,open
Company,2021-06-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Café,Payment Request,1622517820716-23037d38-a433-4e4d-9aef-b1c624c37e3f,2021-11-18 11:52:14,24,50000,64050,,collections_on_hold
Sole Proprietor,2021-06-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1622546565838-fa815b9b-66b8-4c1c-9db7-d014278efe91,2021-10-22 09:27:11,24,8500,11100,6330.36,open
Sole Proprietor,2021-06-01 00:00:00,Gauteng,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1622895529001-2fb14864-53b8-425f-835b-09a6afbb3869,2021-11-18 15:47:17,24,15500,20200,,collections_on_hold
Company,2021-06-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1622791981743-3f6f6179-54b0-4212-b14f-8812df67697e,2021-11-24 14:26:41,23,24000,31250,,collections_on_hold
Sole Proprietor,2021-06-01 00:00:00,Western Cape,Retail,Other retail,Pet store,Card Machine,1619596147529-8dc6fe4d-57b1-47bc-9614-64cb0a905333,2021-11-25 08:44:20,14,31000,40350,,collections_on_hold
Sole Proprietor,2021-06-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Wine Farm,Card Machine,1618387266170-47010736-8936-4934-b994-597ee8c79566,2021-11-24 09:30:29,19,35000,45550,,collections_on_hold
Company,2021-06-01 00:00:00,Western Cape,Travel and tourism,Other tourism,Tour operator/Travel Agent,Payment Request,1623224044238-2d49ae95-e094-4778-b41f-ffdf07ec26d4,2021-11-19 07:47:10,6,300000,390050,,collections_on_hold
Sole Proprietor,2021-04-01 00:00:00,Western Cape,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1617985516149-fa5de1bd-49d4-49cc-a1b1-74482d28bc74,2021-11-18 11:12:10,26,14000,17550,,collections_on_hold
Company,2021-04-01 00:00:00,Mpumalanga,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1618308781399-ce4dedc8-46aa-4d58-99cd-7b8ea30e823b,2021-10-04 10:12:06,23,4500,5855,831.91,open
Sole Proprietor,2021-04-01 00:00:00,Mpumalanga,Retail,Retail home,Food/Beverage/Grocery,Payment Request,1618473539182-51977d07-a9cd-4a44-a3c2-09d308ddc359,2021-10-27 19:51:16,18,20000,24450,13124.99,open
Company,2021-04-01 00:00:00,Western Cape,Retail,Retail transport,Bicycle Shop/Service,Card Machine,1618480068304-21b937d0-cb53-4e37-a2bd-0bf29cc85df3,2021-11-26 12:33:45,24.37,300000,345000,,collections_on_hold
Sole Proprietor,2021-04-01 00:00:00,North West,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1619538274345-38e8dfcd-cae9-475e-acdf-28ff623c6060,2021-09-20 18:46:15,2,3000,3710,1777.6,open
Company,2021-05-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1619806899129-e2f9b321-b7d2-470e-ab60-bf6fc31715e7,2021-11-22 17:43:40,6,10000,13050,,collections_on_hold
Sole Proprietor,2021-05-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1621425686153-f0e801b4-ed93-43e7-bbbd-87692ffc19fa,2021-11-19 15:47:00,10,25000,32550,,collections_on_hold
Company,2021-05-01 00:00:00,Limpopo,Retail,Retail apparel,Clothing and Accessories,Card Machine,1607151107999-ad652c3f-27ec-40f9-8766-dc8de4a69131,2021-11-18 12:02:44,24,161000,209350,,collections_on_hold
Sole Proprietor,2021-05-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1621502125468-e6a2bee7-21a3-49bc-9486-a4adc30a6650,2021-11-26 16:37:35,11,30000,34251,4696.45,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,Retail,Other retail,Other Retail,Card Machine,1621622055972-9ced6cde-235e-4eed-b91d-b3129dbf4e05,2021-10-20 20:31:10,24,36000,46850,33439.32,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1621852336325-f1b12f06-0a20-4ccb-8641-f7b51b164105,2021-09-20 10:02:12,16,15000,19100,2765.6,open
Sole Proprietor,2021-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1621202180552-ceb72c1f-78ff-42e0-af72-22dd4001d22a,2021-11-22 14:44:09,6,8000,10050,,collections_on_hold
Sole Proprietor,2021-05-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1622112903972-9a754023-6996-4e01-bdfb-87fc50f87ae7,2021-10-29 13:38:35,24,18000,36354,6036.72,open
Sole Proprietor,2021-05-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1622112903972-9a754023-6996-4e01-bdfb-87fc50f87ae7,2021-10-23 13:17:22,15,10000,12250,12250,finished
Company,2021-05-01 00:00:00,Gauteng,Home and repair,Asset repair,Automotive services,Card Machine,1622463675445-e739be6c-ae1b-407c-a409-cabf3acf3c86,2021-11-19 05:48:37,19,50000,64550,,collections_on_hold
Sole Proprietor,2021-06-01 00:00:00,North West,Personal services,Personal services,Other Services,Card Machine,1622567476253-670e93e4-58fc-4a06-b132-479f91d86381,2021-10-29 09:39:09,15,10000,13050,5073,open
Sole Proprietor,2021-06-01 00:00:00,North West,Retail,Other retail,Other Retail,Card Machine,1620158474063-da8211e9-f813-45af-8307-554ceee3db43,2021-11-18 20:29:55,24,15500,20200,,collections_on_hold
Sole Proprietor,2021-06-01 00:00:00,Gauteng,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1622121484504-cdd6a10e-a4ab-4229-af5a-fd8fded08507,2021-11-19 09:55:47,12,3500,4530,,collections_on_hold
Sole Proprietor,2021-06-01 00:00:00,Eastern Cape,Personal services,Personal services,Other Services,Card Machine,1622796680521-ce362dfc-a09d-4318-a443-e3f7889b162f,2021-10-31 20:58:21,23,26000,33850,5315.3,open
Company,2021-06-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1622884195571-bfff1125-6396-41e8-a7bd-ed519e9e28a6,2021-10-19 08:21:39,24,241500,314000,46142.29,open
Sole Proprietor,2021-06-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1623131496353-766a0af1-db40-45bd-94e4-e229696b28f6,2021-11-03 20:17:28,23,29000,37750,6719.45,open
Company,2021-06-01 00:00:00,Western Cape,Retail,Retail home,Furniture / Home goods,Card Machine,1623519795370-415f7fed-5e92-4580-9171-b2e139c47145,2021-11-03 18:55:06,10,10000,12250,3933.39,open
Company,2021-06-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1622467263732-f2c4dde0-caae-4fa5-aca9-f1214d48d9e9,2021-10-19 17:59:57,23,63000,81950,14072.55,open
Company,2021-06-01 00:00:00,Western Cape,Retail,Retail gifts,Card Shop/Gifts/Souvenirs,Card Machine,1623659343213-1a0549b9-9721-4e7f-a8cf-716f1a24ed51,2021-10-19 15:11:33,23,25000,32550,6302.92,open
Company,2021-06-01 00:00:00,Western Cape,Retail,Retail gifts,Card Shop/Gifts/Souvenirs,Card Machine,1623659343213-1a0549b9-9721-4e7f-a8cf-716f1a24ed51,2021-10-19 15:11:33,23,25000,32550,6302.92,open
